name,description,difficulty,image,emoji
Morocco,"Africa, UN, AU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/1200px-Flag_of_Morocco.svg.png,🇲🇦
Mozambique,"Africa, UN, AU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/1200px-Flag_of_Mozambique.svg.png,🇲🇿
Myanmar,"Asia, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/1200px-Flag_of_Myanmar.svg.png,🇲🇲
Namibia,"Africa, UN, AU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/1200px-Flag_of_Namibia.svg.png,🇳🇦
Nauru,"Oceania, UN, island nation, microstate",4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/1200px-Flag_of_Nauru.svg.png,🇳🇷
Nepal,"Asia, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/1200px-Flag_of_Nepal.svg.png,🇳🇵
Netherlands,"Europe, UN, EU, NATO",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/1200px-Flag_of_the_Netherlands.svg.png,🇳🇱
New Zealand,"Oceania, UN, CWE",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/1200px-Flag_of_New_Zealand.svg.png,🇳🇿
Nicaragua,"North America, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/1200px-Flag_of_Nicaragua.svg.png,🇳🇮
Niger,"Africa, UN, AU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/1200px-Flag_of_Niger.svg.png,🇳🇪
Nigeria,"Africa, UN, AU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/1200px-Flag_of_Nigeria.svg.png,🇳🇬
North Macedonia,"Europe, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/1200px-Flag_of_North_Macedonia.svg.png,🇲🇰
Norway,"Europe, UN, EU, NATO",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/1200px-Flag_of_Norway.svg.png,🇳🇴
Oman,"Asia, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/1200px-Flag_of_Oman.svg.png,🇴🇲
Pakistan,"Asia, UN, SAARC",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/1200px-Flag_of_Pakistan.svg.png,🇵🇰
Palau,"Oceania, UN, micronation",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Palau.svg/1200px-Flag_of_Palau.svg.png,🇵🇼
Panama,"North America, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/1200px-Flag_of_Panama.svg.png,🇵🇦
Papua New Guinea,"Oceania, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Papua_New_Guinea_%283-2%29.svg/1200px-Flag_of_Papua_New_Guinea_%283-2%29.svg.png,🇵🇬
